trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_1456,NA,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_1472,ECP_1472,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_1490,ECP_1490,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;3
ECP_1498,NA,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_1498,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_1528,ECP_1528,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_1538,ECP_1538,KFF-acpP Jvpna-21 ECP_1086,2,1;9
ECP_1538,ECP_1538,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;10
ECP_1541,ECP_1541,KFF-acpP Jvpna-21 ECP_1086,2,3;10
ECP_1541,ECP_1541,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_1541,ECP_1541,KFF-acpP Jvpna-21 ECP_1086,2,2;8
ECP_1542,ydgD,KFF-acpP Jvpna-21 ECP_1086,2,6;10
ECP_1542,ydgD,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_1559,ECP_1559,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;3
ECP_1598,rnt,KFF-acpP Jvpna-21 ECP_1086,2,5;8
ECP_1598,rnt,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;7
ECP_1599,ECP_1599,KFF-acpP Jvpna-21 ECP_1086,2,4;5
ECP_1606,ECP_1606,KFF-acpP Jvpna-21 ECP_1086,2,4;9
ECP_1608,cfa,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_1621,NA,KFF-acpP Jvpna-21 ECP_1086,2,5;9
ECP_1621,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_1661,ECP_1661,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_1661,ECP_1661,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_1665,ECP_1665,KFF-acpP Jvpna-21 ECP_1086,2,1;6
ECP_1680,ECP_1680,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_1689,ECP_1689,KFF-acpP Jvpna-21 ECP_1086,2,4;9
ECP_1724,ECP_1724,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_1735,yeaK,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ryeA,ryeA,KFF-acpP Jvpna-21 ECP_1086,2,6;9
ECP_1792,ECP_1792,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;3
ECP_1796,ECP_1796,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_1798,ECP_1798,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;9
ECP_1826,ECP_1826,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_1827,ECP_1827,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_1837,uspC,KFF-acpP Jvpna-21 ECP_1086,2,3;4
ECP_1838,ECP_1838,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_1838,ECP_1838,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_1840,ECP_1840,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_1847,yecR,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_1851,ECP_1851,KFF-acpP Jvpna-21 ECP_1086,2,3;10
ECP_1851,ECP_1851,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_1927,hns,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_1934,mtfA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;8
ECP_1972,ECP_1972,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_1976,ECP_1976,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_1996,ECP_1996,KFF-acpP Jvpna-21 ECP_1086,2,3;10
