"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2831",-0.0372877656551117,5.87951525814012,0.0899489194636261,0.767295615356831,0.929198705936159,"ECP_2831"
"ECP_3480",0.1565726595929,1.17669214964122,0.0919089329411737,0.764853316199316,0.929198705936159,"ECP_3480"
"ECP_4586",0.142776861757893,0.889695632956809,0.090492451378712,0.766615445655951,0.929198705936159,"ECP_4586"
"ECP_0547",-0.0917828200757869,4.07204931943063,0.0887144792323441,0.768926695478864,0.929267139144921,"ECP_0547"
"ECP_0673",0.0580669635673173,5.08819786794993,0.088432755121052,0.769204891427404,0.929267139144921,"ECP_0673"
"ECP_1272",0.0777876194319192,2.8566190661321,0.0885604169672403,0.769043443012198,0.929267139144921,"ECP_1272"
"ECP_1621",-0.197810633807894,0.306897544973611,0.088710198115231,0.76885418327142,0.929267139144921,"ECP_1621"
"ECP_1972",-0.0517192717768991,4.84308336637137,0.0884664993726121,0.769162204160831,0.929267139144921,"ECP_1972"
"ECP_3797",-0.155099129078235,1.65260169966075,0.0888569799984994,0.768668882627217,0.929267139144921,"ECP_3797"
"ECP_4516",0.0881951006010736,2.57665076444496,0.0884181966732236,0.769223310951224,0.929267139144921,"ECP_4516"
"ECP_2939",-0.0416362140832293,6.27642119259976,0.0879812764744893,0.769776880348561,0.929446314861503,"ECP_2939"
"ECP_3512",0.172481331368715,3.95410290254131,0.0881872892567569,0.769678364114988,0.929446314861503,"ECP_3512"
"ECP_0935",-0.0294101135010813,9.91670033143758,0.0871720373705757,0.770806148449711,0.929954708821363,"ECP_0935"
"ECP_1697",0.129825443490164,1.24713821360827,0.0871869991927007,0.770787071367138,0.929954708821363,"ECP_1697"
"ECP_2666",-0.125001630347644,2.16658772000285,0.0873917646802624,0.770526164260773,0.929954708821363,"ECP_2666"
"ECP_2313",-0.135576266786646,1.48218742531323,0.0863181657350654,0.771897852125452,0.93098597105407,"ECP_2313"
"ECP_2601",0.0255191171786513,6.55817769363947,0.0861863954565807,0.772066848460799,0.93098597105407,"ECP_2601"
"ECP_0190",-0.0387529133790718,7.53760900258802,0.0848928423165753,0.773733369115713,0.931567069337023,"ECP_0190"
"ECP_0499",-0.0475382205134532,10.2370794156122,0.0848591064999837,0.773777016297823,0.931567069337023,"ECP_0499"
"ECP_0774",0.136763644485922,3.15533252851233,0.0845342001179067,0.774376550115995,0.931567069337023,"ECP_0774"
"ECP_1136",-0.0758063352849578,4.08773871744574,0.0846301702905148,0.774073462333466,0.931567069337023,"ECP_1136"
"ECP_1310",0.0313708835893511,5.94188611428625,0.085427349557464,0.77304308323753,0.931567069337023,"ECP_1310"
"ECP_2758",-0.0725291606843589,3.27608664999551,0.0852519939772902,0.773269285174659,0.931567069337023,"ECP_2758"
"ECP_3959",0.0424115635854871,5.8745044554161,0.0847861749898031,0.773871406907779,0.931567069337023,"ECP_3959"
"ECP_4486",-0.0659391027544041,3.49958819386999,0.0845216181618779,0.774214177376518,0.931567069337023,"ECP_4486"
"ECP_4620",-0.0686212428176988,3.96025474709147,0.0846922032893985,0.773993093675944,0.931567069337023,"ECP_4620"
"ECP_1910",0.102040236687926,3.14265283470685,0.0841472107669722,0.774700273926773,0.9317121543005,"ECP_1910"
"ECP_0913",0.0304891766192491,6.51777229268217,0.0839414472652409,0.774967919645369,0.931780230182564,"ECP_0913"
"ECP_1941",0.163573817397369,3.0627007444599,0.0841075664151177,0.775163147673133,0.931780230182564,"ECP_1941"
"ECP_1407",0.0281411039176749,6.38096075781765,0.0834034098335706,0.775669459534607,0.932144566645335,"ECP_1407"
"ECP_1000",-0.0347756019767673,5.60382504025899,0.0828107345212166,0.776445094434715,0.932832280820334,"ECP_1000"
"ECP_2904",-0.338977229913307,12.0073831969187,0.0827859126194961,0.777313129705696,0.933630616904957,"ECP_2904"
"ECP_0021",0.0279178774967867,6.57193646879496,0.0810149534559573,0.778813816329865,0.933757357852903,"ECP_0021"
"ECP_0191",-0.0231663528183568,6.70796526974797,0.0817302299023468,0.777866950718173,0.933757357852903,"ECP_0191"
"ECP_1943",0.06234062723331,4.17180014689403,0.0809925002283535,0.778843612632484,0.933757357852903,"ECP_1943"
"ECP_2087",0.169094044256791,0.986868849440045,0.0809970832945927,0.778837530362244,0.933757357852903,"ECP_2087"
"ECP_2837",0.083335292143063,2.31022354894983,0.0811794477024073,0.778595662559816,0.933757357852903,"ECP_2837"
"ECP_3664",-0.0648426708748633,4.17922229698135,0.0813844180955997,0.778324164223741,0.933757357852903,"ECP_3664"
"ECP_4761",-0.0635932236264549,4.8781422345733,0.0813710623634877,0.778341843565923,0.933757357852903,"ECP_4761"
"ECP_2469",-0.198613378722941,0.877042423093098,0.0802552246354588,0.779824505478606,0.934444881564881,"ECP_2469"
"ECP_3398",-0.0395768856790659,12.1930203611353,0.0804014975208818,0.77962951257889,0.934444881564881,"ECP_3398"
"ECP_0286",-0.0806260641482691,3.57223432587073,0.0796525293947798,0.780629982549605,0.934727118322835,"ECP_0286"
"ECP_4389",0.0422663152245209,4.93970978794408,0.0797741501575147,0.780467176246438,0.934727118322835,"ECP_4389"
"ECP_4474",0.0216884208106532,8.70271806958631,0.0796216252380624,0.780671373510961,0.934727118322835,"ECP_4474"
"ECP_1557",-0.030566732293207,6.28855061776564,0.0791319680845841,0.781328352092992,0.934781729538486,"ECP_1557"
"ECP_1877",0.127910282119842,2.84889304335885,0.0794468921602533,0.781073470033759,0.934781729538486,"ECP_1877"
"ECP_4506",0.0645061058828084,3.64875780088611,0.0791899689939988,0.781250416903856,0.934781729538486,"ECP_4506"
"ECP_4304",0.156316220621376,1.04201093347735,0.0787571362154465,0.781832756883692,0.935141292262189,"ECP_4304"
"ECP_0835",-0.0444007929637985,5.77676546128031,0.0784144465542899,0.782295046504562,0.935450307173208,"ECP_0835"
"ECP_0243",0.143849323315616,3.74547753466033,0.0782200319079151,0.783004355886049,0.935948548442488,"ECP_0243"
"ECP_3137",-0.0331310000830625,7.96909181613464,0.0778050728147838,0.783119801378302,0.935948548442488,"ECP_3137"
"ECP_0919",-0.025924371855166,7.33328182989224,0.0774622894639756,0.783585275891824,0.936149758500093,"ECP_0919"
"ECP_1189",0.0670229925370703,4.0162120484513,0.0773806270854207,0.783696331510869,0.936149758500093,"ECP_1189"
"ECP_3468",-0.0659120239130607,4.76896299696293,0.0771761586745194,0.783974673627579,0.936238434764307,"ECP_3468"
"ECP_4756",-0.0461492873623931,6.44474941539237,0.0770253980288371,0.784180158863905,0.93624008035105,"ECP_4756"
"ECP_2186",-0.0536669193353356,3.92849155044215,0.0763820132789049,0.785059537061861,0.936315835476169,"ECP_2186"
