"","control_1","control_2","control_3","genename"
"ECP_1644",1.08731240508621,0.972074321455517,0.800580868049317,"ydiQ"
"ECP_1645",2.09377904319535,0.659954611211813,1.81175116571331,"ydiR"
"ECP_1646",0.586183220501024,0.768616905336921,0.896774693280048,"ydiS"
"ECP_1647",0.771608524945226,1.05390710872091,1.15730227524136,NA
"ECP_1648",2.40055985538515,2.1858814106804,2.16029758045054,"fadK"
"ECP_1649",64.1112949524267,60.1463325032998,70.0230630616653,"ECP_1649"
"ECP_1650",2.25052486442358,5.53301232078475,4.45561375967923,"ECP_1650"
"ECP_1651",46.2410000920412,38.7125101849439,48.4668201772302,"ydiA"
"ECP_1652",111.151424020333,85.17139729859,126.219564363802,"aroH"
"ECP_1653",53.168649922007,42.2814358179968,80.4542075469352,"hemP"
"ECP_1654",48.7278569392689,44.5474873671199,58.2942095534727,"ECP_1654"
"ECP_1655",10.4847981919028,12.7584754691037,16.2975390995754,"ECP_1655"
"ECP_1656",46.6715298335687,49.7090586479793,43.6101363176112,"ECP_1656"
"ECP_1657",17.744938451007,13.1375844544713,21.3221371190468,"ECP_1657"
"ECP_1658",43.5623334626685,34.2405255213781,36.8600774664373,"ECP_1658"
"ECP_1659",19.5017958893903,18.9509902118621,26.359594330268,"ECP_1659"
"ECP_1660",355.654945374586,421.600784144276,634.220163668669,"ECP_1660"
"ECP_1661",362.192007628016,339.354381797196,454.118434097522,"ECP_1661"
"ECP_1662",417.971869088775,328.049151630528,512.375823543778,"ECP_1662"
"ECP_1663",4716.04104530738,5473.29918389534,6892.62004491983,"ECP_1663"
"ECP_1664",16265.81167284,14833.9277874052,15610.4576093524,"ECP_1664"
"ECP_1665",11645.289692118,12137.8060148543,8698.90006440818,"ECP_1665"
"ECP_1666",1425.24934655051,1141.63741785887,1131.86322336226,"ECP_1666"
"ECP_1667",2.27266117456545,1.1852135681681,2.41705426009425,"ECP_1667"
"ECP_1668",2.2572428490935,1.07907503967543,1.35421639371526,"ECP_1668"
"ECP_1669",241.398591149333,289.518696867497,329.757044503633,"ECP_1669"
"ECP_1670",17.7254242225052,13.7266301360372,21.7318967891452,"pfkB"
"ECP_1671",19.4890813001629,11.7124934350633,14.9661852996161,"ydiZ"
"ECP_1672",7.72863172953267,7.98912998513311,8.93098633869185,"yniA"
"ECP_1673",59.423914632467,71.6633282933373,76.0328198706055,"ECP_1673"
"ECP_1674",82.2864553119465,65.2118020133387,89.4101637612925,"yniC"
"ECP_1675",21.3674198295323,24.6410971714136,24.5254088257748,"ydjM"
"ECP_1676",110.98191753835,108.268967527632,133.80110348228,"ydjN"
"ECP_1677",62.2367369914668,39.7830416743832,48.4466735171407,"ECP_1677"
"ECP_1678",4.07840474104559,3.0135593188359,3.85071611157231,"katE"
"ECP_1679",10.162053775168,10.6140526206358,11.8346737015986,"ECP_1679"
"ECP_1680",3.63277627782786,2.56489676836378,3.01771058909942,"ECP_1680"
"ECP_1681",5.67132265834741,4.20508936379641,4.61763607821302,"ECP_1681"
"ECP_1682",17.0193538465126,15.0069166079404,11.6323715870414,"ECP_1682"
"ECP_1683",4.67393773167704,4.33195372282191,5.95870160435529,"ECP_1683"
"ECP_1684",16.4898270440008,27.6064564889996,25.8630018743658,"ECP_1684"
"ECP_1685",75.8406963161502,77.325071300737,86.9185216771537,"ECP_1685"
"ECP_1686",54.5214110633398,40.7892599107127,62.9538892737814,"nadE"
"ECP_1687",7.49363954856715,10.4678611474306,16.1693894915141,"cho"
"ECP_1688",9.58348504767039,12.4800166791034,11.2234210234344,"ECP_1688"
"ECP_1689",19.9157558372694,22.186696318406,20.7228545680255,"ECP_1689"
"ECP_1690",0.936441305815878,1.85461548172434,0.912943095143957,"ECP_1690"
"ECP_1691",2.47557735086593,2.07487962029428,2.22780687983962,"ECP_1691"
"ECP_1692",0.562402968148042,0.628496328527274,0.828187104878603,"ECP_1692"
"ECP_1693",1.24202879474275,0.718489715858426,0.920474621235446,"ECP_1693"
"ECP_1694",1.42441082328136,0.710545726371048,1.05891736437317,"ECP_1694"
"ECP_1695",100.638855475762,74.6058139937609,93.8898563811195,"xthA"
"ECP_1696",3.19061752930937,3.92213531599932,3.15840975369667,"ydjX"
"ECP_1697",1.0037739218314,1.37101190249534,0.903310271471574,"ydjY"
"ECP_1698",2.77691881576333,2.62583635562666,2.49898830280931,"ydjZ"
"ECP_1699",5.64721867619293,4.62797678998972,7.06523552950626,"ynjA"
"ECP_1700",4.01738937237977,4.51364843992038,9.2715085104426,"ynjB"
"ECP_1701",1.47690694227797,2.13827871980327,3.32272332930625,"ynjC"
"ECP_1702",3.81556876096768,4.4534826997876,5.2025515125529,"ynjD"
"ECP_1703",4.36526387110539,2.65419734419768,3.86500167675578,"ynjE"
"ECP_1704",5.11423621364662,7.08510692027059,10.3005493328729,"ECP_1704"
"ECP_1705",13.5296259496523,17.163187238199,22.8499122755742,"nudG"
"ECP_1706",19.6661249691168,28.6014175351335,19.4426782240548,"ECP_1706"
"ECP_1707",14.797200983585,16.1840610382954,17.4173992423825,"gdhA"
"ECP_1708",1.32253066106867,1.02007799165085,1.40019287621794,"ECP_1708"
"ECP_1709",0.853122040913799,0.540248997885855,0.802633639505853,"ECP_1709"
"ECP_1710",3.77865903162477,2.91450854757386,3.68050698891573,"ECP_1710"
"ECP_1711",67.2674599846445,55.4449325030502,69.8318689372447,"ECP_1711"
"ECP_1712",122.697580884298,114.798346051776,149.26538885613,"ECP_1712"
"ECP_1713",77.2614970847329,75.8904762375462,98.6222808466549,"ECP_1713"
"ECP_1714",29.6443934322521,35.8069622327748,54.3808673644269,"ECP_1714"
"ECP_1715",61.7135077866713,50.2095025624959,74.8074728522385,"ansA"
"ECP_1716",50.2939724842024,41.0235804469399,57.2377910334325,"pncA"
"ECP_1717",5.00779042679683,4.37755323569372,6.10892097253231,"ECP_1717"
"ECP_1718",48.9173372902693,40.7416327515176,29.9453107298025,"ECP_1718"
"ECP_1719",3.54578107079824,3.22166833601656,4.09267385654161,"ECP_1719"
"ECP_1720",2.57521359099366,2.17437677167681,1.68543340641961,"ECP_1720"
"ECP_1721",1.7165293589582,1.11056878123278,0.569110652914389,"ECP_1721"
"ECP_1722",0.902897139637399,0.554952877547366,0.812529836229157,"ECP_1722"
"ECP_1723",0.49315849203021,0.134716821723455,0.59173368507993,"ECP_1723"
"ECP_1724",0.702113606728246,0.575392181920048,0.884578675003423,"ECP_1724"
"ECP_1725",84.7582287401371,50.1659783751151,49.1052257710103,"ECP_1725"
"ECP_1726",69.0421888842293,65.2628158571403,56.3790705506711,"ECP_1726"
"ECP_1727",1161.36844316921,1157.01731698184,1564.99895170753,"gapA"
"ECP_1728",36.4844410563366,31.1599247534364,42.8288149127626,"yeaD"
"ECP_1729",13.2662518323916,12.6838645014481,18.9423987843716,"ECP_1729"
"ECP_1730",647.558251592117,613.973267583177,785.072962881079,"ECP_1730"
"ECP_1731",3.16538939070553,2.65813346429018,3.05958424766134,"prkA"
"ECP_1732",1.1778447888572,1.01352375221852,0.84796727456937,"yhbH"
"ECP_1733",1.58817527017859,1.55344194155366,1.06038997089188,"yeaI"
"ECP_1734",18.5113594482165,24.3556448449192,22.3636439666358,"yeaJ"
"ECP_1735",43.0600424059711,40.0836003683518,58.5980718697208,"yeaK"
"ECP_1736",12.180021816585,9.9817027639392,11.8743873717382,"yeaL"
"ECP_1737",7.45137283578492,6.0311180528262,6.70559522690942,"ECP_1737"
"ECP_1738",6.71730264102062,6.92047835452468,8.80842147967966,"yeaN"
"ECP_1739",17.6006565259058,18.3416178541876,18.1856085112927,"yeaO"
"ECP_1740",33.8055311399532,36.4527870545819,37.0935802196183,"ECP_1740"
"ECP_1741",40.5357694878632,31.6492618988514,36.5450340692883,"yeaP"
"ECP_1742",174.922722956258,167.2436302456,95.105148903208,"ECP_1742"
"ECP_1743",2.06605561324132,0.677264896096057,2.60298151087073,NA
"ECP_1744",3.15073481019301,2.40993425527514,2.64636453605191,"ECP_1744"
"ECP_1745",45.9149335720145,52.3687926699627,64.9610610459422,"ECP_1745"
"ECP_1746",6.35823961696607,5.21066866005435,7.15233658392407,"dmlA"
"ECP_1747",103.872612129589,95.1202161125878,121.830330484602,"ECP_1747"
"ECP_1748",73.3741802918246,69.6123118464665,86.4175584472897,"ECP_1748"
"ECP_1749",68.4716389679057,77.7283655236016,115.052549490799,"ECP_1749"
"ECP_1750",113.209161111073,112.008520682369,148.711347019764,"ECP_1750"
"ECP_1751",29.5981116235399,23.250812213935,35.003942663454,"ECP_1751"
"ECP_1752",179.265946097188,145.130277195756,151.155649239024,"yoaB"
"ECP_1753",28.2305838993293,23.7550662305692,29.9417244650444,"yoaC"
"ECP_1754",214.670065067817,132.890660362315,109.635102207865,"ECP_1754"
"ECP_1755",30.7023145380922,25.2519857459604,36.4229027082789,"pabB"
"ECP_1756",14.2354443237736,14.9840471830578,23.0357120236643,"nudL"
"ECP_1757",155.556278628958,147.546995220927,213.520489316992,"sdaA"
"ECP_1758",4.87092961275617,3.29420120662107,5.23456721416861,"yoaD"
"ECP_1759",5.92508126155756,3.66166724170624,7.0365762230282,"ECP_1759"
"ECP_1760",24.1945315054327,18.1701392262808,32.0644168653908,"manX"
"ECP_1761",15.0102422418184,13.6936874216276,24.6371016197449,"manY"
"ECP_1762",14.9105196651387,14.6196212870313,24.0409172641335,"manZ"
"ECP_1763",5.76605063303295,6.61550579879449,6.96801866635516,"yobD"
"ECP_1764",69.3495069333487,81.3147884773107,62.4085967685711,"mntP"
"ECP_1765",43.3167689460609,35.4987141094496,45.2822376168882,"ECP_1765"
"ECP_1766",521.761684567962,649.501872962519,712.898201548677,"cspC"
"ECP_1767",1813.77300573444,2138.38630615396,1526.38525918708,"ECP_1767"
